time, rPosX, rPosY, rPosZ, rRotX, rRotY, rRotZ, rRotW
9.754229545593262,-0.135340706,0.131581366,0.504299104,2.33E-05,6.55E-05,0.984807193,0.173651516
9.83402967453003,-0.135340706,0.131581366,0.504299104,2.33E-05,6.55E-05,0.984807193,0.173651353
9.898119926452637,-0.135340706,0.131581366,0.504299104,2.32E-05,6.56E-05,0.984807193,0.173651472
9.971489667892456,-0.135340706,0.131581366,0.504299104,2.31E-05,6.57E-05,0.984807193,0.173651293
10.042939901351929,-0.135340706,0.131581366,0.504299104,2.34E-05,6.58E-05,0.984807253,0.173651129
10.120759725570679,-0.135340691,0.131581366,0.504299104,2.35E-05,6.57E-05,0.984807253,0.173651174
10.190309762954712,-0.135340706,0.131581366,0.504299104,2.34E-05,6.55E-05,0.984807253,0.17365092
10.266469717025757,-0.135340706,0.131581366,0.504299104,2.34E-05,6.54E-05,0.984807193,0.173651218
10.338469743728638,-0.135340706,0.131581366,0.504299104,2.34E-05,6.54E-05,0.984807193,0.173651278
10.440369844436646,-0.135340676,0.131581351,0.504299104,2.37E-05,6.53E-05,0.984807134,0.173651621
10.530689716339111,-0.135340691,0.131581351,0.504299104,2.36E-05,6.53E-05,0.984807193,0.173651546
10.612579822540283,-0.135340691,0.131581351,0.504299104,2.38E-05,6.53E-05,0.984807193,0.173651323
10.685609817504883,-0.135340676,0.131581366,0.504299104,2.38E-05,6.51E-05,0.984807253,0.17365104
10.757509708404541,-0.135340676,0.131581366,0.504299104,2.39E-05,6.52E-05,0.984807253,0.173651069
10.823619842529297,-0.135340676,0.131581366,0.504299104,2.37E-05,6.50E-05,0.984807253,0.17365095
10.901549816131592,-0.135340676,0.131581351,0.504299104,2.36E-05,6.49E-05,0.984807253,0.173650995
10.978269815444946,-0.135340676,0.131581351,0.504299104,2.37E-05,6.49E-05,0.984807193,0.173651233
11.054659605026245,-0.135340676,0.131581366,0.504299104,2.37E-05,6.48E-05,0.984807193,0.173651353
11.12395977973938,-0.135340706,0.131581351,0.504299104,2.36E-05,6.46E-05,0.984807253,0.173651025
11.188999891281128,-0.135340676,0.131581336,0.504299104,2.36E-05,6.45E-05,0.984807312,0.173650756
11.262629747390747,-0.135340691,0.131581336,0.504299104,2.35E-05,6.45E-05,0.984807312,0.173650756
11.330779790878296,-0.135340691,0.131581336,0.504299104,2.36E-05,6.45E-05,0.984807372,0.173650622
11.39791989326477,-0.135340691,0.131581321,0.504299104,2.36E-05,6.44E-05,0.984807372,0.173650667
11.462119817733765,-0.135340691,0.131581321,0.504299104,2.36E-05,6.44E-05,0.984807372,0.173650622
11.53137993812561,-0.135340691,0.131581321,0.504299104,2.34E-05,6.45E-05,0.984807372,0.173650414
